#curie_map:
#  uniclass: "https://w3id.org/tesseract/construction-crosswalks/uniclass-lifted#"
#  ifc: "http://ifcowl.openbimstandards.org/IFC4_ADD2#"
#  skos: "http://www.w3.org/2004/02/skos/core#"
#  semapv: "https://w3id.org/semapv/vocab/"
#  orcid: "https://orcid.org/"
#mapping_set_id: "https://w3id.org/tesseract/construction-crosswalks/uniclass-ifc"
#mapping_set_version: "0.1.0"
#mapping_set_title: "Uniclass 2015 (verified codes) to ifcOWL IFC4 ADD2 crosswalk"
#license: "https://creativecommons.org/licenses/by/4.0/"
#creator_id: "orcid:0009-0001-7244-794X"
#subject_source: "https://w3id.org/tesseract/construction-crosswalks/uniclass-lifted"
#object_source: "http://ifcowl.openbimstandards.org/IFC4_ADD2"
#comment: "Candidate-for-review crosswalk between Uniclass 2015 codes (verified against uniclass.thenbs.com, April 2026 table versions; see lift/uniclass_to_rdf.py) and ifcOWL IFC4 ADD2. Uniclass stratifies the built environment into tables (Complexes > Entities > Spaces > Elements > Systems > Products) while IFC types occurrences, so most correspondences here cross a strata boundary and say so. Rows with predicate_modifier=Not are asserted NON-mappings. SKOS direction per the SKOS Reference: A skos:broadMatch B asserts B is the broader concept; A skos:narrowMatch B asserts B is the narrower concept. Confidence is the curator's, not a computed score."
subject_id	subject_label	predicate_id	predicate_modifier	object_id	object_label	mapping_justification	confidence	comment
uniclass:EF_30_25_12	Ceilings	skos:broadMatch		ifc:IfcCovering	IfcCovering	semapv:ManualMappingCuration	0.8	IFC4 has no IfcCeiling class at all: ceilings are IfcCovering occurrences discriminated only by a CEILING predefined type. IfcCovering is the broader concept (it also carries claddings, floor coverings and wrappings), so this is a broadMatch with real information loss at the class level.
uniclass:Ss_25	Wall and barrier systems	skos:relatedMatch		ifc:IfcWall	IfcWall	semapv:ManualMappingCuration	0.6	The stratification mismatch made explicit: Uniclass separates the wall element (EF_25_10) from the wall system (Ss_25), while a single IfcWall occurrence answers for both readings. One IFC class, two Uniclass strata. Any tool that maps IfcWall to exactly one Uniclass table has already made an undeclared modelling decision.
uniclass:Ss_25_30	Door and window systems	skos:relatedMatch		ifc:IfcDoor	IfcDoor	semapv:ManualMappingCuration	0.55	System-stratum counterpart of the EF door row; same conflation as Ss_25.
uniclass:Ss_25_30	Door and window systems	skos:relatedMatch		ifc:IfcWindow	IfcWindow	semapv:ManualMappingCuration	0.55	System-stratum counterpart of the EF window row.
uniclass:Ss_20_05_65	Piling systems	skos:relatedMatch		ifc:IfcPile	IfcPile	semapv:ManualMappingCuration	0.65	System-stratum counterpart of the pile row: a piling system is the assembled set of piles plus caps and works, of which IfcPile occurrences are members.
uniclass:Ss_20_10	Structural frame systems	skos:relatedMatch		ifc:IfcElementAssembly	IfcElementAssembly	semapv:ManualMappingCuration	0.55	The least losable and least clean row in the set: IFC4 has no frame entity, and an IfcElementAssembly instance can represent an assembled frame. Related only - most exchanged models represent frames as loose beams and columns with no assembly object at all.
uniclass:Ss_30	Roof, floor and paving systems	skos:relatedMatch		ifc:IfcSlab	IfcSlab	semapv:ManualMappingCuration	0.55	System-stratum counterpart of the floors row, with the same crossed-scope caveats.
uniclass:Ss_30_25	Ceiling and soffit systems	skos:relatedMatch		ifc:IfcCovering	IfcCovering	semapv:ManualMappingCuration	0.6	System-stratum counterpart of the ceilings row.
uniclass:SL_20_15_27	Enclosed offices	skos:broadMatch		ifc:IfcSpace	IfcSpace	semapv:ManualMappingCuration	0.8	A space classification code names a kind of IfcSpace: the broader concept on the IFC side is the class, the Uniclass code is the discriminator. In a live model this row is realised as an IfcClassificationReference on the space, not as a class axiom - which is exactly why classification mappings survive every schema validator while carrying no checkable semantics.
uniclass:En_20_15	Administrative office entities	skos:broadMatch		ifc:IfcBuilding	IfcBuilding	semapv:ManualMappingCuration	0.75	An entity code names a kind of IfcBuilding. Same classification-not-axiom caveat as the SL row.
uniclass:Co_25_10_32	Further education colleges	skos:broadMatch		ifc:IfcSite	IfcSite	semapv:ManualMappingCuration	0.6	IFC4 has no complex entity; a campus-scale complex is approximated by IfcSite with compositionType COMPLEX, or by site aggregation. The Uniclass Complexes table simply has no first-class IFC4 counterpart, and this row is the closest honest anchor.
uniclass:Ac	Activities	skos:relatedMatch		ifc:IfcTask	IfcTask	semapv:ManualMappingCuration	0.6	Table-level: Uniclass Ac classifies activities across the asset life cycle; IfcTask carries the scheduled-work case. Related, not close - Ac also classifies occupancy and operational activities that IFC represents nowhere.
uniclass:EF_20_10_30	Framed structures	skos:closeMatch	Not	ifc:IfcBeam	IfcBeam	semapv:ManualMappingCuration	0.9	Asserted non-mapping, and the canonical part-whole error of construction alignment: a beam is a part of a framed structure, not a kind of one. Tools infer 'frame maps to beam/column' from lexical overlap constantly, and because Uniclass asserts no axioms whatsoever, no reasoner and no SHACL shape will ever reject it. The mereology/taxonomy confusion must be refused by a human, here, in the record.
uniclass:Pr	Products	skos:closeMatch	Not	ifc:IfcElement	IfcElement	semapv:ManualMappingCuration	0.85	Asserted non-mapping at table level: Pr classifies products as supplied (the manufacturer's catalogue item); IfcElement is the installed occurrence in a building. The as-supplied/as-installed line is the construction twin of the as-designed/as-built line, and collapsing it makes every delivered pallet a wall. Products crosswalk to IfcElementType and material layers, each with loss, and that mapping is deliberately out of scope until it can be done per product group.
