#curie_map:
#  cobie: "https://w3id.org/tesseract/construction-crosswalks/cobie-lifted#"
#  ifc: "http://ifcowl.openbimstandards.org/IFC4_ADD2#"
#  skos: "http://www.w3.org/2004/02/skos/core#"
#  semapv: "https://w3id.org/semapv/vocab/"
#  orcid: "https://orcid.org/"
#mapping_set_id: "https://w3id.org/tesseract/construction-crosswalks/cobie-ifc"
#mapping_set_version: "0.1.0"
#mapping_set_title: "COBie 2.4 (BS 1192-4) worksheet model to ifcOWL IFC4 ADD2 crosswalk"
#license: "https://creativecommons.org/licenses/by/4.0/"
#creator_id: "orcid:0009-0001-7244-794X"
#subject_source: "https://w3id.org/tesseract/construction-crosswalks/cobie-lifted"
#object_source: "http://ifcowl.openbimstandards.org/IFC4_ADD2"
#comment: "Candidate-for-review crosswalk between the COBie worksheet model (lifted; see lift/cobie_to_rdf.py) and ifcOWL IFC4 ADD2. The entity-level skeleton follows the COBie mapping documented in BS 1192-4 and the buildingSMART FM Handover MVD, re-expressed against ifcOWL IRIs; the confidences and the non-mappings are this repository's. Rows with predicate_modifier=Not are asserted NON-mappings. SKOS direction per the SKOS Reference: A skos:narrowMatch B asserts B is the narrower concept. COBie asserts zero disjointness, so no mis-mapping into COBie is reasoner-rejectable; every row here rests on SHACL shape checks and human review only."
subject_id	subject_label	predicate_id	predicate_modifier	object_id	object_label	mapping_justification	confidence	comment
cobie:Assembly	Assembly	skos:closeMatch		ifc:IfcRelAggregates	IfcRelAggregates	semapv:ManualMappingCuration	0.7	The documented target is the aggregation relationship, not a thing: a COBie Assembly row reifies an IfcRelAggregates (or nesting) instance. IfcElementAssembly is the related first-class object when the aggregation is itself a product.
cobie:Assembly	Assembly	skos:relatedMatch		ifc:IfcElementAssembly	IfcElementAssembly	semapv:ManualMappingCuration	0.6	The object-side reading of the row above, applicable when the assembly is modelled as a product rather than a relationship.
cobie:Connection	Connection	skos:closeMatch		ifc:IfcRelConnectsElements	IfcRelConnectsElements	semapv:ManualMappingCuration	0.8	Direct: both reify a logical connection between two components.
cobie:Spare	Spare	skos:closeMatch		ifc:IfcConstructionProductResource	IfcConstructionProductResource	semapv:ManualMappingCuration	0.8	The documented target: a spare part is a product-typed construction resource.
cobie:Resource	Resource	skos:closeMatch		ifc:IfcConstructionResource	IfcConstructionResource	semapv:ManualMappingCuration	0.8	COBie Resource spans materials, tools and training, which is the IfcConstructionResource family (product, equipment, material, labour subtypes), not any single leaf.
cobie:Job	Job	skos:closeMatch		ifc:IfcTask	IfcTask	semapv:ManualMappingCuration	0.85	Maintenance, operation and safety procedures are IfcTask instances in the handover MVD (IfcProcedure carries the step-level detail).
cobie:Document	Document	skos:closeMatch		ifc:IfcDocumentInformation	IfcDocumentInformation	semapv:ManualMappingCuration	0.9	Direct: a Document row is a named external reference applying to another row, which is IfcDocumentInformation's exact remit, and both sides key on name plus location rather than content.
cobie:Attribute	Attribute	skos:closeMatch		ifc:IfcPropertySingleValue	IfcPropertySingleValue	semapv:ManualMappingCuration	0.85	A COBie Attribute row is a named single value on another row, which is precisely IfcPropertySingleValue. The broader IfcProperty admits enumerated, bounded and table values that COBie's one-column shape cannot carry.
cobie:Issue	Issue	skos:closeMatch		ifc:IfcApproval	IfcApproval	semapv:ManualMappingCuration	0.55	The documented but weakest target: BS 1192-4 routes issues through approval records. An Issue row (risk, clash, observation between two rows) and an IfcApproval (a sanctioned decision) overlap without either subsuming the other. Flagged low-confidence deliberately.
cobie:Coordinate	Coordinate	skos:closeMatch	Not	ifc:IfcProduct	IfcProduct	semapv:ManualMappingCuration	0.85	Asserted non-mapping at the entity level: a Coordinate row is a projection of geometry (a point, line or box derived from placement and representation), not an entity. There is no IFC4 class whose instances are COBie coordinates; mapping it to any product or placement class confuses a derived view with a thing. The honest statement is that this sheet crosswalks to a computation over IfcLocalPlacement and representation, not to a class.
cobie:Impact	Impact	skos:closeMatch	Not	ifc:IfcPropertySetDefinition	IfcPropertySetDefinition	semapv:ManualMappingCuration	0.8	Asserted non-mapping: IFC4 ADD2 has no entity for economic or environmental impact; in practice impacts land in ad-hoc property sets. A property set is a carrier, not a concept, and asserting the mapping would make any property set an impact. The gap is real and belongs in the record.
